xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,calendar_date,tile,proc_date,pixel,value
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001081,2001-03-22,h19v12,2015142190117,1,6790
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001097,2001-04-07,h19v12,2015142195359,1,7084
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001113,2001-04-23,h19v12,2015142195402,1,6996
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001129,2001-05-09,h19v12,2015142064542,1,7766
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001145,2001-05-25,h19v12,2015143102329,1,7314
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001161,2001-06-10,h19v12,2015143072512,1,6968
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001177,2001-06-26,h19v12,2015143095051,1,6757
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001193,2001-07-12,h19v12,2015143122507,1,6779
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001209,2001-07-28,h19v12,2015143163925,1,5948
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001225,2001-08-13,h19v12,2015144060232,1,6336
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001241,2001-08-29,h19v12,2015144061107,1,7312
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001257,2001-09-14,h19v12,2015144060421,1,6399
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001273,2001-09-30,h19v12,2015144061413,1,6898
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001289,2001-10-16,h19v12,2015146021038,1,6156
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001305,2001-11-01,h19v12,2015146023242,1,6139
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001321,2001-11-17,h19v12,2015146032053,1,6996
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001337,2001-12-03,h19v12,2015146040056,1,6860
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2001353,2001-12-19,h19v12,2018226092230,1,6077
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002001,2002-01-01,h19v12,2015146150700,1,6077
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002017,2002-01-17,h19v12,2015146122404,1,6503
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002033,2002-02-02,h19v12,2015146145433,1,6554
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002049,2002-02-18,h19v12,2015146132018,1,6364
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002065,2002-03-06,h19v12,2015147121106,1,6571
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002081,2002-03-22,h19v12,2015147123704,1,7320
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002097,2002-04-07,h19v12,2015147211904,1,7177
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002113,2002-04-23,h19v12,2015147212703,1,6601
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002129,2002-05-09,h19v12,2015147233332,1,7347
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002145,2002-05-25,h19v12,2015148102643,1,6998
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002161,2002-06-10,h19v12,2015148093840,1,6881
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002177,2002-06-26,h19v12,2015148235122,1,6981
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002193,2002-07-12,h19v12,2015149024835,1,6978
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002209,2002-07-28,h19v12,2015149183717,1,7401
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002225,2002-08-13,h19v12,2015150025437,1,7274
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002241,2002-08-29,h19v12,2015150202715,1,6903
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002257,2002-09-14,h19v12,2015151081437,1,6712
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002273,2002-09-30,h19v12,2015151081348,1,6419
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002289,2002-10-16,h19v12,2015152035752,1,6421
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002305,2002-11-01,h19v12,2015152040113,1,6094
1893327.44,-3829047.98,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.43429,20.6469,limestone,MOD13Q1,2000-01-01,2022-01-30,TRUE,A2002321,2002-11-17,h19v12,2015152183917,1,6428
